"optionid","secid","d","expiry","id_callput","id_strike","bid","ask","p","volume","open_interest","iv","delta","gamma","vega","theta","cfadj","hedge_err","id_atm","id_delta","days","moneyness","spot"
"33765541","103823","2009-01-02","2010-01-16","C","95.00000","8.5","8.8000000000000007","8.6500000000000004","2","507","0.315828","0.46756900000000001","1.3905000000000001E-2","35.526989999999998","-6.0738510000000003","1","","-1","50","262","1.0532150776053215","90.200000000000003"
"33765541","103823","2009-01-05","2010-01-16","C","95.00000","7.9500000000000002","8.4000000000000004","8.1750000000000007","4","508","0.31130400000000003","0.45646700000000001","0.01422","35.109020000000001","-5.9331880000000004","1","","-1","50","261","1.0590858416945372","89.700000000000003"
"33765541","103823","2009-01-06","2010-01-16","C","95.00000","8.1999999999999993","8.6500000000000004","8.4250000000000007","51","512","0.31295200000000001","0.46341599999999999","0.014126","35.283900000000003","-6.0101009999999997","1","","-1","50","260","1.0537992235163616","90.150000000000006"
"33765541","103823","2009-01-07","2010-01-16","C","95.00000","7.4000000000000004","7.75","7.5750000000000002","0","562","0.31997700000000001","0.43283700000000003","0.014031","33.98075","-5.8797050000000004","1","","-1","40","259","1.0812656498975644","87.859999999999999"
"33765541","103823","2009-01-08","2010-01-16","C","95.00000","7.0999999999999996","7.5","7.2999999999999998","30","562","0.31831100000000001","0.42488999999999999","0.014147","33.669029999999999","-5.7909290000000002","1","","-1","40","258","1.0865835525563308","87.430000000000007"
"33765541","103823","2009-01-09","2010-01-16","C","95.00000","6.5499999999999998","6.8499999999999996","6.6999999999999993","0","592","0.31803999999999999","0.40460499999999999","0.014227","32.789230000000003","-5.6047539999999998","1","","-1","40","257","1.102855816113304","86.140000000000001"
"33765541","103823","2009-01-12","2010-01-16","C","95.00000","6.2000000000000002","6.5499999999999998","6.375","0","592","0.32702300000000001","0.389075","1.3939999999999999E-2","31.874420000000001","-5.5914210000000004","1","","-1","40","256","1.1204151432951999","84.790000000000006"
"33765541","103823","2009-01-13","2010-01-16","C","95.00000","5.9500000000000002","6.2999999999999998","6.125","1","592","0.324187","0.38152700000000001","1.4063000000000001E-2","31.547840000000001","-5.4968399999999997","1","","-1","40","255","1.1253257521914237","84.420000000000002"
"33765541","103823","2009-01-14","2010-01-16","C","95.00000","5.2000000000000002","5.5499999999999998","5.375","269","592","0.32864100000000002","0.35108299999999998","0.013863","29.708200000000001","-5.264958","1","","-1","40","254","1.1574074074074074","82.079999999999998"
"33765541","103823","2009-01-15","2010-01-16","C","95.00000","5.25","5.7000000000000002","5.4749999999999996","101","715","0.31492900000000001","0.36415700000000001","0.014487","30.466419999999999","-5.1033280000000003","1","","-1","40","253","1.1559990265271354","82.180000000000007"
"33765541","103823","2009-01-16","2010-01-16","C","95.00000","5.3499999999999996","5.75","5.5499999999999998","89","815","0.31041000000000002","0.36996600000000002","1.4729000000000001E-2","30.756979999999999","-5.0933780000000004","1","","-1","40","252","1.1488692707703472","82.689999999999998"
"33765541","103823","2009-01-20","2010-01-16","C","95.00000","4.5499999999999998","4.9500000000000002","4.75","291","891","0.324851","0.33136900000000002","0.014145","28.304410000000001","-4.9107289999999999","1","","-1","30","251","1.196322881249213","79.409999999999997"
"33765541","103823","2009-01-21","2010-01-16","C","95.00000","5.0499999999999998","5.4000000000000004","5.2249999999999996","0","1082","0.30652800000000002","0.35960399999999998","1.4940999999999999E-2","30.20608","-5.0141939999999998","1","","-1","40","250","1.1551556420233464","82.239999999999995"
"33765541","103823","2009-01-22","2010-01-16","C","95.00000","4.5999999999999996","4.9000000000000004","4.75","1","1082","0.30408400000000002","0.34052199999999999","1.4984000000000001E-2","29.136810000000001","-4.8087039999999996","1","","-1","30","249","1.1705273533760474","81.159999999999997"
"33765541","103823","2009-01-23","2010-01-16","C","95.00000","4.2999999999999998","4.5999999999999996","4.4499999999999993","0","1083","0.30127500000000002","0.32850699999999999","1.5044999999999999E-2","28.461980000000001","-4.67537","1","","-1","30","248","1.1798310978638848","80.519999999999996"
"33765541","103823","2009-01-26","2010-01-16","C","95.00000","4.2999999999999998","4.5999999999999996","4.4499999999999993","45","1083","0.29605799999999999","0.33138099999999998","0.015321","28.623049999999999","-4.6695419999999999","1","","-1","30","247","1.1718268163315655","81.069999999999993"
"33765541","103823","2009-01-27","2010-01-16","C","95.00000","4.2999999999999998","4.5999999999999996","4.4499999999999993","0","1118","0.29172500000000001","0.333534","1.5533999999999999E-2","28.832260000000002","-4.6386339999999997","1","","-1","30","246","1.1655011655011653","81.510000000000005"
"33765541","103823","2009-01-28","2010-01-16","C","95.00000","4.5999999999999996","5.0499999999999998","4.8249999999999993","76","1118","0.27932000000000001","0.35733399999999998","0.016246","30.353110000000001","-4.7033290000000001","1","","-1","40","245","1.1352908137047526","83.679000000000002"
"33765541","103823","2009-01-29","2010-01-16","C","95.00000","4.0499999999999998","4.4500000000000002","4.25","0","1118","0.28508600000000001","0.32761800000000002","0.015819","28.558920000000001","-4.5275740000000004","1","","-1","30","244","1.1652152581871704","81.530000000000001"
"33765541","103823","2009-01-30","2010-01-16","C","95.00000","3.7000000000000002","4.0999999999999996","3.8999999999999999","0","1118","0.28877000000000003","0.30896699999999999","1.5520000000000001E-2","27.357289999999999","-4.4171069999999997","1","","-1","30","243","1.1863136863136863","80.079999999999998"
"33765541","103823","2009-02-02","2010-01-16","C","95.00000","3.2999999999999998","3.6499999999999999","3.4749999999999996","50","1118","0.28261700000000001","0.29008400000000001","0.015625","26.254249999999999","-4.1845230000000004","1","","-1","30","242","1.1976802824004036","79.319999999999993"
"33765541","103823","2009-02-03","2010-01-16","C","95.00000","3.5499999999999998","3.75","3.6499999999999999","162","1163","0.275038","0.30305700000000002","1.6140999999999999E-2","27.157979999999998","-4.235957","1","","-1","30","241","1.1782215056430609","80.629999999999995"
"33765541","103823","2009-02-04","2010-01-16","C","95.00000","3.2000000000000002","3.4500000000000002","3.3250000000000002","25","1199","0.27382699999999999","0.28601199999999999","0.015996","26.125779999999999","-4.0587220000000004","1","","-1","30","240","1.1921194629188103","79.689999999999998"
